ID,First Name,Last Name,Email,Country,City,Phone Number,Subscription Date
1,John,Doe,john.doe@example.com,USA,New York,+1-555-123-4567,2023-01-15
2,Jane,Smith,jane.smith@example.com,UK,London,+44-20-1234-5678,2023-02-20
3,Michael,Johnson,michael.j@example.com,Canada,Toronto,+1-416-555-7890,2023-01-10
4,Emily,Brown,emily.brown@example.com,Australia,Sydney,+61-2-9876-5432,2023-03-05
5,David,Wilson,david.wilson@example.com,Germany,Berlin,+49-30-1234-5678,2023-02-28
6,Sarah,Taylor,sarah.taylor@example.com,France,Paris,+33-1-2345-6789,2023-01-22
7,Robert,Anderson,robert.a@example.com,USA,Chicago,+1-312-555-6789,2023-03-12
8,Jennifer,Martinez,jennifer.m@example.com,Spain,Madrid,+34-91-234-5678,2023-02-05
9,William,Thomas,william.t@example.com,Canada,Vancouver,+1-604-555-1234,2023-01-30
10,Lisa,Garcia,lisa.garcia@example.com,Mexico,Mexico City,+52-55-1234-5678,2023-03-18
